"sexo","collection_code","collection_no","collection_date","maturity","total_length_cm","precaudal_length_cm","total_weight_gr","liver_weight_gr","factor_condicion_fulton","proporcion_morfometrica","peso_somatico_neto_gr","fuente_run_id"
"male","CCM","851",NA,"inmature",61,41.1,832,46,0.366550504227226,0.673770491803279,786,"20260910T195140"
"male","CCM","671",NA,"inmature",62,41.2,1522,58,0.638615689302138,0.664516129032258,1464,"20260910T195140"
"male","CCM","232",2021-01-25,"inmature",52.3,41.4,1194,78,0.834640126490061,0.791586998087954,1116,"20260910T195140"
"male","CCM","1009",2021-12-13,"mature",54.5,41.4,1034,72,0.638750174706512,0.759633027522936,962,"20260910T195140"
"male","CCM","190",2021-01-25,"mature",61.5,41.5,1234,NA,0.530505404201375,0.67479674796748,NA,"20260910T195140"
"male","CCM","994",2021-12-13,"mature",62.2,41.5,1060,46,0.440488638534724,0.667202572347267,1014,"20260910T195140"
"male","CCM","230",2021-01-25,"mature",67.6,41.5,1274,68,0.412410145087573,0.613905325443787,1206,"20260910T195140"
"male","CCM","1075",NA,"mature",53.9,41.6,1374,56,0.877446078112664,0.771799628942486,1318,"20260910T195140"
"male","CCM","677",NA,"inmature",61.1,41.6,1316,76,0.576942136618662,0.680851063829787,1240,"20260910T195140"
"male","CCM","373",NA,"mature",62.3,41.6,1544,60,0.638532719303618,0.667736757624398,1484,"20260910T195140"
"male","CCM","995",2021-12-13,"mature",62.5,41.8,1286,62,0.5267456,0.6688,1224,"20260910T195140"
"male","CCM","999",2021-12-13,"mature",63.4,41.9,312,16,0.122429709885851,0.660883280757098,296,"20260910T195140"
"male","CCM","327",2021-01-25,"mature",66.6,41.9,1315,56,0.445146604819792,0.629129129129129,1259,"20260910T195140"
"male","CCM","469",NA,"mature",67.6,42,1306,70,0.422768955639223,0.621301775147929,1236,"20260910T195140"
"male","CCM","319",2021-01-25,"mature",68,42,1400,66,0.445247303073479,0.617647058823529,1334,"20260910T195140"
"male","CCM","1073",NA,"inmature",65.9,42.1,1518,50,0.53041467081695,0.638846737481032,1468,"20260910T195140"
"male","CCM","484",NA,"mature",62,42.2,594,42,0.249236346547615,0.680645161290323,552,"20260910T195140"
